Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days,,
2018,11,5,1500,3000,325,674,,
2018,11,6,1500,3000,2237,675,,
2018,11,7,,,,676,,
2018,11,8,,,,677,,
2018,11,9,,,,678,,
2018,11,10,,,,679,,
2018,11,11,,,,680,,
2018,11,12,1500,3000,97,681,,
2018,11,13,,,,682,,
2018,11,14,,,,683,,
2018,11,15,,,,684,,
2018,11,16,,,,685,,
2018,11,17,,,,686,,
2018,11,18,,,,687,,
2018,11,19,1500,3000,338,688,,
2018,11,20,1500,3000,234,689,,
2018,11,21,,,,690,,
2018,11,22,1200,2800,1699,691,,
2018,11,23,,,,692,,
2018,11,24,1200,2800,1481,693,,
2018,11,25,,,,694,,
2018,11,26,1200,2800,292,695,,
2018,11,27,1200,2800,2169,696,,
2018,11,28,,,,697,,
2018,11,29,,,,698,,
2018,11,30,,,,699,,
2018,12,1,750,1500,1553,700,,
2018,12,2,,,,701,,
2018,12,3,,,,702,,
2018,12,4,650,1400,1654,703,,
2018,12,5,,,,704,,
2018,12,6,,,,705,,
2018,12,7,,,,706,,
2018,12,8,,,,707,,
2018,12,9,,,,708,,
2018,12,10,,,,709,,
2018,12,11,,,,710,,
2018,12,12,,,,711,,
2018,12,13,,,,712,,
2018,12,14,400,1200,1651,713,,
2018,12,15,425,1200,1587,714,,
2018,12,16,,,,715,,
2018,12,17,400,1200,197,716,,
2018,12,18,450,1200,1557,717,,
2018,12,19,450,1200,1270,718,,
2018,12,20,350,1000,1495,719,,
2018,12,21,400,1000,1711,720,,
2018,12,22,700,1500,1660,721,,
2018,12,23,,,,722,,
2018,12,24,700,1500,276,723,,
2018,12,25,,,,724,,
2018,12,26,700,1500,1551,725,,
2018,12,27,750,1500,1596,726,,
2018,12,28,,,,727,,
2018,12,29,,,,728,,
2018,12,30,,,,729,,
2018,12,31,,,,730,,
2019,1,1,650,1400,1985,731,,
2019,1,2,650,1400,1330,732,,
2019,1,3,700,1400,1456,733,,
2019,1,4,725,1500,1212,734,,
2019,1,5,725,1500,1364,735,,
2019,1,6,,,,736,,
2019,1,7,725,1500,456,737,,
2019,1,8,725,1500,1598,738,,
2019,1,9,675,1500,1729,739,,
2019,1,10,700,1500,1843,740,,
2019,1,11,600,1500,1452,741,,
2019,1,12,650,1500,1867,742,,
2019,1,13,,,,743,,
2019,1,14,600,1500,378,744,,
2019,1,15,600,1500,1583,745,,
2019,1,16,700,1500,1306,746,,
2019,1,17,600,1400,1543,747,,
2019,1,18,600,1400,1312,748,,
2019,1,19,600,1400,1566,749,,
2019,1,20,,,,750,,
2019,1,21,725,1500,390,751,,
2019,1,22,825,1500,2300,752,,
2019,1,23,775,1500,1061,753,,
2019,1,24,675,1400,1499,754,,
2019,1,25,675,1400,2084,755,,
2019,1,26,,,,756,,
2019,1,27,,,,757,,
2019,1,28,650,1400,492,758,,
2019,1,29,650,1400,1651,759,,
2019,1,30,650,1400,1202,760,,
2019,1,31,675,1500,2050,761,,
2019,2,1,650,1500,1683,762,,
2019,2,2,650,1500,889,763,,
2019,2,3,,,,764,,
2019,2,4,650,1500,191,765,,
2019,2,5,650,1500,1780,766,,
2019,2,6,650,1500,1697,767,,
2019,2,7,650,1500,2040,768,,
